Date,Frequency_Sunscreen_Application,Steps _Day,Days _Spring,Max _UV,Max _Temp,Beach
4/19/2025,6,20179,30,8,72,Y
4/20/2025,4,"5,432",31,7,64,Y
4/21/2025,3,"10,234",32,6,62,N
4/22/2025,4,"9,876",33,5,61,Y
4/23/2025,3,"12,343",34,5,60,N
4/24/2025,3,"9,322",35,6,59,N
4/25/2025,3,"10,432",36,5,61,N
4/26/2025,4,"7,365",37,6,64.9,Y
4/27/2025,4,"9,678",38,6,64.9,Y
4/28/2025,3,"4,566",39,7,61,Y
4/29/2025,5,"11,456",40,6,64,Y
4/30/2025,3,"12,343",41,7,64.9,N
5/1/2025,3,"9,455",42,5,66,Y
5/2/2025,4,"7,545",43,6,60.1,N
5/3/2025,2,"10,300",44,6,60.1,N
5/4/2025,3,"8,565",45,6,62.1,Y
5/5/2025,3,"12,200",46,7,66,N
5/6/2025,3,"6,333",47,7,66,Y
5/7/2025,4,"8,456",48,6,64.9,Y
5/8/2025,4,"7,845",49,8,64,Y
5/9/2025,4,"9,345",50,7,64,Y
5/10/2025,6,"9,212",51,7,68,N
5/11/2025,5,"8,456",52,7,77,N
5/12/2025,5,"11,456",53,8,78.1,N
5/13/2025,4,"6,555",54,7,78.1,Y
5/14/2025,5,"8,999",55,8,72,N
5/15/2025,5,"10,222",56,8,76,Y
5/16/2025,5,"6,700",57,8,78,Y
5/17/2025,6,"10,345",58,9,80,N
5/18/2025,5,"9,876",59,8,79,Y
5/19/2025,5,8566,60,8,78,Y